Perioden,Regio's,Gemiddelde woningwaarde (1 000 euro)
2007,Gaasterlân-Sleat,207
2008,Gaasterlân-Sleat,222
2009,Gaasterlân-Sleat,229
2010,Gaasterlân-Sleat,232
2011,Gaasterlân-Sleat,226
2012,Gaasterlân-Sleat,219
2013,Gaasterlân-Sleat,209
2014,Gaasterlân-Sleat,
2015,Gaasterlân-Sleat,
2016,Gaasterlân-Sleat,
2017,Gaasterlân-Sleat,
2018**,Gaasterlân-Sleat,
2019*,Gaasterlân-Sleat,
2020*,Gaasterlân-Sleat,
1997,Gasselte,62
1998,Gasselte,
1999,Gasselte,
2000,Gasselte,
2001,Gasselte,
2002,Gasselte,
2003,Gasselte,
2004,Gasselte,
2005,Gasselte,
2006,Gasselte,
2007,Gasselte,
2008,Gasselte,
2009,Gasselte,
2010,Gasselte,
2011,Gasselte,
2012,Gasselte,
2013,Gasselte,
2014,Gasselte,
2015,Gasselte,
2016,Gasselte,
2017,Gasselte,
2018**,Gasselte,
2019*,Gasselte,
2020*,Gasselte,
1997,Geertruidenberg,90
1998,Geertruidenberg,90
1999,Geertruidenberg,90
2000,Geertruidenberg,90
2001,Geertruidenberg,131
2002,Geertruidenberg,133
2003,Geertruidenberg,133
2004,Geertruidenberg,133
2005,Geertruidenberg,204
2006,Geertruidenberg,204
2007,Geertruidenberg,224
2008,Geertruidenberg,232
2009,Geertruidenberg,238
2010,Geertruidenberg,239
2011,Geertruidenberg,229
2012,Geertruidenberg,224
2013,Geertruidenberg,216
2014,Geertruidenberg,202
2015,Geertruidenberg,197
2016,Geertruidenberg,201
2017,Geertruidenberg,206
2018**,Geertruidenberg,214
2019*,Geertruidenberg,225
2020*,Geertruidenberg,238
1997,Geldermalsen,90
1998,Geldermalsen,89
1999,Geldermalsen,89
2000,Geldermalsen,90
2001,Geldermalsen,172
2002,Geldermalsen,170
2003,Geldermalsen,173
2004,Geldermalsen,173
2005,Geldermalsen,262
2006,Geldermalsen,263
2007,Geldermalsen,277
2008,Geldermalsen,305
2009,Geldermalsen,319
2010,Geldermalsen,322
2011,Geldermalsen,317
2012,Geldermalsen,308
2013,Geldermalsen,300
2014,Geldermalsen,276
2015,Geldermalsen,266
2016,Geldermalsen,267
2017,Geldermalsen,265
2018**,Geldermalsen,276
2019*,Geldermalsen,
2020*,Geldermalsen,
1997,Geldrop,84
1998,Geldrop,85
1999,Geldrop,85
2000,Geldrop,85
2001,Geldrop,133
2002,Geldrop,
2003,Geldrop,
2004,Geldrop,
2005,Geldrop,
2006,Geldrop,
2007,Geldrop,
2008,Geldrop,
2009,Geldrop,
2010,Geldrop,
2011,Geldrop,
2012,Geldrop,
2013,Geldrop,
2014,Geldrop,
2015,Geldrop,
2016,Geldrop,
2017,Geldrop,
2018**,Geldrop,
2019*,Geldrop,
2020*,Geldrop,
1997,Geldrop-Mierlo,
1998,Geldrop-Mierlo,
1999,Geldrop-Mierlo,
2000,Geldrop-Mierlo,
2001,Geldrop-Mierlo,
2002,Geldrop-Mierlo,
2003,Geldrop-Mierlo,
2004,Geldrop-Mierlo,146
2005,Geldrop-Mierlo,222
2006,Geldrop-Mierlo,222
2007,Geldrop-Mierlo,241
2008,Geldrop-Mierlo,253
2009,Geldrop-Mierlo,266
2010,Geldrop-Mierlo,267
2011,Geldrop-Mierlo,263
2012,Geldrop-Mierlo,259
2013,Geldrop-Mierlo,248
2014,Geldrop-Mierlo,233
2015,Geldrop-Mierlo,223
2016,Geldrop-Mierlo,224
2017,Geldrop-Mierlo,230
2018**,Geldrop-Mierlo,241
2019*,Geldrop-Mierlo,258
2020*,Geldrop-Mierlo,278
1997,Geleen,62
1998,Geleen,62
1999,Geleen,62
2000,Geleen,62
2001,Geleen,
2002,Geleen,
2003,Geleen,
2004,Geleen,
2005,Geleen,
2006,Geleen,
2007,Geleen,
2008,Geleen,
2009,Geleen,
2010,Geleen,
2011,Geleen,
2012,Geleen,
2013,Geleen,
2014,Geleen,
2015,Geleen,
2016,Geleen,
2017,Geleen,
2018**,Geleen,
2019*,Geleen,
2020*,Geleen,
1997,Gemert-Bakel,85
1998,Gemert-Bakel,86
1999,Gemert-Bakel,86
2000,Gemert-Bakel,87
2001,Gemert-Bakel,160
2002,Gemert-Bakel,161
2003,Gemert-Bakel,161
2004,Gemert-Bakel,162
2005,Gemert-Bakel,229
2006,Gemert-Bakel,230
2007,Gemert-Bakel,259
2008,Gemert-Bakel,281
2009,Gemert-Bakel,289
2010,Gemert-Bakel,298
2011,Gemert-Bakel,291
2012,Gemert-Bakel,285
2013,Gemert-Bakel,262
2014,Gemert-Bakel,243
2015,Gemert-Bakel,236
2016,Gemert-Bakel,232
2017,Gemert-Bakel,240
2018**,Gemert-Bakel,250
2019*,Gemert-Bakel,267
2020*,Gemert-Bakel,293
1997,Gendringen,86
1998,Gendringen,86
1999,Gendringen,86
2000,Gendringen,87
2001,Gendringen,133
2002,Gendringen,
2003,Gendringen,
2004,Gendringen,
2005,Gendringen,
2006,Gendringen,
2007,Gendringen,
2008,Gendringen,
2009,Gendringen,
2010,Gendringen,
2011,Gendringen,
2012,Gendringen,
2013,Gendringen,
2014,Gendringen,
2015,Gendringen,
2016,Gendringen,
2017,Gendringen,
2018**,Gendringen,
2019*,Gendringen,
2020*,Gendringen,
1997,Gendt,94
1998,Gendt,93
1999,Gendt,93
2000,Gendt,93
2001,Gendt,
2002,Gendt,
2003,Gendt,
2004,Gendt,
2005,Gendt,
2006,Gendt,
2007,Gendt,
2008,Gendt,
2009,Gendt,
2010,Gendt,
2011,Gendt,
2012,Gendt,
2013,Gendt,
2014,Gendt,
2015,Gendt,
2016,Gendt,
2017,Gendt,
2018**,Gendt,
2019*,Gendt,
2020*,Gendt,
1997,Genemuiden,80
1998,Genemuiden,81
1999,Genemuiden,82
2000,Genemuiden,83
2001,Genemuiden,
2002,Genemuiden,
2003,Genemuiden,
2004,Genemuiden,
2005,Genemuiden,
2006,Genemuiden,
2007,Genemuiden,
2008,Genemuiden,
2009,Genemuiden,
2010,Genemuiden,
2011,Genemuiden,
2012,Genemuiden,
2013,Genemuiden,
2014,Genemuiden,
2015,Genemuiden,
2016,Genemuiden,
2017,Genemuiden,
2018**,Genemuiden,
2019*,Genemuiden,
2020*,Genemuiden,
1997,Gennep,96
1998,Gennep,97
1999,Gennep,97
2000,Gennep,97
2001,Gennep,153
2002,Gennep,153
2003,Gennep,153
2004,Gennep,155
2005,Gennep,225
2006,Gennep,224
2007,Gennep,238
2008,Gennep,247
2009,Gennep,256
2010,Gennep,256
2011,Gennep,253
2012,Gennep,245
2013,Gennep,228
2014,Gennep,215
2015,Gennep,209
2016,Gennep,215
2017,Gennep,214
2018**,Gennep,221
2019*,Gennep,233
2020*,Gennep,253
1997,Giessenlanden,105
1998,Giessenlanden,106
1999,Giessenlanden,107
2000,Giessenlanden,107
2001,Giessenlanden,175
2002,Giessenlanden,177
2003,Giessenlanden,177
2004,Giessenlanden,178
2005,Giessenlanden,260
2006,Giessenlanden,260
2007,Giessenlanden,285
2008,Giessenlanden,306
2009,Giessenlanden,318
2010,Giessenlanden,322
2011,Giessenlanden,316
2012,Giessenlanden,308
2013,Giessenlanden,296
2014,Giessenlanden,281
2015,Giessenlanden,272
2016,Giessenlanden,272
2017,Giessenlanden,277
2018**,Giessenlanden,286
2019*,Giessenlanden,
2020*,Giessenlanden,
1997,Gieten,74
1998,Gieten,
1999,Gieten,
2000,Gieten,
2001,Gieten,
2002,Gieten,
2003,Gieten,
2004,Gieten,
2005,Gieten,
2006,Gieten,
2007,Gieten,
2008,Gieten,
2009,Gieten,
2010,Gieten,
2011,Gieten,
2012,Gieten,
2013,Gieten,
2014,Gieten,
2015,Gieten,
2016,Gieten,
2017,Gieten,
2018**,Gieten,
2019*,Gieten,
2020*,Gieten,
1997,Gilze en Rijen,77
1998,Gilze en Rijen,77
1999,Gilze en Rijen,78
2000,Gilze en Rijen,79
2001,Gilze en Rijen,145
2002,Gilze en Rijen,145
2003,Gilze en Rijen,146
2004,Gilze en Rijen,146
2005,Gilze en Rijen,220
2006,Gilze en Rijen,221
2007,Gilze en Rijen,245
2008,Gilze en Rijen,254
2009,Gilze en Rijen,260
2010,Gilze en Rijen,264
2011,Gilze en Rijen,257
2012,Gilze en Rijen,250
2013,Gilze en Rijen,242
2014,Gilze en Rijen,232
2015,Gilze en Rijen,226
2016,Gilze en Rijen,226
2017,Gilze en Rijen,231
2018**,Gilze en Rijen,237
2019*,Gilze en Rijen,249
2020*,Gilze en Rijen,267
1997,Goedereede,103
1998,Goedereede,101
1999,Goedereede,101
2000,Goedereede,101
2001,Goedereede,158
2002,Goedereede,158
2003,Goedereede,158
2004,Goedereede,159
2005,Goedereede,256
2006,Goedereede,257
2007,Goedereede,284
2008,Goedereede,305
2009,Goedereede,321
2010,Goedereede,328
2011,Goedereede,318
2012,Goedereede,314
2013,Goedereede,
2014,Goedereede,
2015,Goedereede,
2016,Goedereede,
2017,Goedereede,
2018**,Goedereede,
2019*,Goedereede,
2020*,Goedereede,
1997,Goeree-Overflakkee,
1998,Goeree-Overflakkee,
1999,Goeree-Overflakkee,
2000,Goeree-Overflakkee,
2001,Goeree-Overflakkee,
2002,Goeree-Overflakkee,
2003,Goeree-Overflakkee,
2004,Goeree-Overflakkee,
2005,Goeree-Overflakkee,
2006,Goeree-Overflakkee,
2007,Goeree-Overflakkee,
2008,Goeree-Overflakkee,
2009,Goeree-Overflakkee,
2010,Goeree-Overflakkee,
2011,Goeree-Overflakkee,
2012,Goeree-Overflakkee,
2013,Goeree-Overflakkee,232
2014,Goeree-Overflakkee,217
2015,Goeree-Overflakkee,210
2016,Goeree-Overflakkee,211
2017,Goeree-Overflakkee,213
2018**,Goeree-Overflakkee,217
2019*,Goeree-Overflakkee,228
2020*,Goeree-Overflakkee,243
1997,Goes,75
1998,Goes,77
1999,Goes,77
2000,Goes,80
2001,Goes,111
2002,Goes,111
2003,Goes,112
2004,Goes,113
2005,Goes,182
2006,Goes,182
2007,Goes,204
2008,Goes,219
2009,Goes,227
2010,Goes,226
2011,Goes,220
2012,Goes,216
2013,Goes,208
2014,Goes,198
2015,Goes,197
2016,Goes,198
2017,Goes,202
2018**,Goes,209
2019*,Goes,218
2020*,Goes,228
1997,Goirle,107
1998,Goirle,105
1999,Goirle,105
2000,Goirle,106
2001,Goirle,156
2002,Goirle,157
2003,Goirle,158
2004,Goirle,159
2005,Goirle,248
2006,Goirle,246
2007,Goirle,266
2008,Goirle,275
2009,Goirle,283
2010,Goirle,288
2011,Goirle,283
2012,Goirle,276
2013,Goirle,265
2014,Goirle,250
2015,Goirle,243
2016,Goirle,246
2017,Goirle,252
2018**,Goirle,261
2019*,Goirle,276
2020*,Goirle,294
1997,Gooise Meren,
1998,Gooise Meren,
1999,Gooise Meren,
2000,Gooise Meren,
2001,Gooise Meren,
2002,Gooise Meren,
2003,Gooise Meren,
2004,Gooise Meren,
2005,Gooise Meren,
2006,Gooise Meren,
2007,Gooise Meren,
2008,Gooise Meren,
2009,Gooise Meren,
2010,Gooise Meren,
2011,Gooise Meren,
2012,Gooise Meren,
2013,Gooise Meren,
2014,Gooise Meren,
2015,Gooise Meren,
2016,Gooise Meren,334
2017,Gooise Meren,346
2018**,Gooise Meren,368
2019*,Gooise Meren,410
2020*,Gooise Meren,440
1997,Goor,83
1998,Goor,83
1999,Goor,83
2000,Goor,84
2001,Goor,
2002,Goor,
2003,Goor,
2004,Goor,
2005,Goor,
2006,Goor,
2007,Goor,
2008,Goor,
2009,Goor,
2010,Goor,
2011,Goor,
2012,Goor,
2013,Goor,
2014,Goor,
2015,Goor,
2016,Goor,
2017,Goor,
2018**,Goor,
2019*,Goor,
2020*,Goor,
1997,Gorinchem,63
1998,Gorinchem,63
1999,Gorinchem,64
2000,Gorinchem,65
2001,Gorinchem,119
2002,Gorinchem,119
2003,Gorinchem,120
2004,Gorinchem,120
2005,Gorinchem,179
2006,Gorinchem,180
2007,Gorinchem,196
2008,Gorinchem,211
2009,Gorinchem,221
2010,Gorinchem,224
2011,Gorinchem,219
2012,Gorinchem,215
2013,Gorinchem,205
2014,Gorinchem,194
2015,Gorinchem,189
2016,Gorinchem,192
2017,Gorinchem,196
2018**,Gorinchem,200
2019*,Gorinchem,212
2020*,Gorinchem,227
1997,Gorssel,125
1998,Gorssel,125
1999,Gorssel,123
2000,Gorssel,124
2001,Gorssel,199
2002,Gorssel,
2003,Gorssel,
2004,Gorssel,
2005,Gorssel,
2006,Gorssel,
2007,Gorssel,
2008,Gorssel,
2009,Gorssel,
2010,Gorssel,
2011,Gorssel,
2012,Gorssel,
2013,Gorssel,
2014,Gorssel,
2015,Gorssel,
2016,Gorssel,
2017,Gorssel,
2018**,Gorssel,
2019*,Gorssel,
2020*,Gorssel,
1997,Gouda,70
1998,Gouda,72
1999,Gouda,72
2000,Gouda,72
2001,Gouda,130
2002,Gouda,129
2003,Gouda,129
2004,Gouda,129
2005,Gouda,180
2006,Gouda,180
2007,Gouda,195
2008,Gouda,204
2009,Gouda,205
2010,Gouda,210
2011,Gouda,206
2012,Gouda,197
2013,Gouda,192
2014,Gouda,182
2015,Gouda,174
2016,Gouda,176
2017,Gouda,180
2018**,Gouda,188
2019*,Gouda,206
2020*,Gouda,222
1997,Graafstroom,105
1998,Graafstroom,105
1999,Graafstroom,106
2000,Graafstroom,107
2001,Graafstroom,176
2002,Graafstroom,178
2003,Graafstroom,179
2004,Graafstroom,180
2005,Graafstroom,264
2006,Graafstroom,266
2007,Graafstroom,292
2008,Graafstroom,314
2009,Graafstroom,326
2010,Graafstroom,329
2011,Graafstroom,318
2012,Graafstroom,321
2013,Graafstroom,
2014,Graafstroom,
2015,Graafstroom,
2016,Graafstroom,
2017,Graafstroom,
2018**,Graafstroom,
2019*,Graafstroom,
2020*,Graafstroom,
1997,Graft-De Rijp,85
1998,Graft-De Rijp,85
1999,Graft-De Rijp,85
2000,Graft-De Rijp,86
2001,Graft-De Rijp,172
2002,Graft-De Rijp,172
2003,Graft-De Rijp,174
2004,Graft-De Rijp,174
2005,Graft-De Rijp,252
2006,Graft-De Rijp,256
2007,Graft-De Rijp,271
2008,Graft-De Rijp,288
2009,Graft-De Rijp,296
2010,Graft-De Rijp,300
2011,Graft-De Rijp,294
2012,Graft-De Rijp,285
2013,Graft-De Rijp,270
2014,Graft-De Rijp,251
2015,Graft-De Rijp,
2016,Graft-De Rijp,
2017,Graft-De Rijp,
2018**,Graft-De Rijp,
2019*,Graft-De Rijp,
2020*,Graft-De Rijp,
1997,Gramsbergen,67
1998,Gramsbergen,67
1999,Gramsbergen,67
2000,Gramsbergen,68
2001,Gramsbergen,
2002,Gramsbergen,
2003,Gramsbergen,
2004,Gramsbergen,
2005,Gramsbergen,
2006,Gramsbergen,
2007,Gramsbergen,
2008,Gramsbergen,
2009,Gramsbergen,
2010,Gramsbergen,
2011,Gramsbergen,
2012,Gramsbergen,
2013,Gramsbergen,
2014,Gramsbergen,
2015,Gramsbergen,
2016,Gramsbergen,
2017,Gramsbergen,
2018**,Gramsbergen,
2019*,Gramsbergen,
2020*,Gramsbergen,
1997,Grave,91
1998,Grave,91
1999,Grave,91
2000,Grave,91
2001,Grave,145
2002,Grave,145
2003,Grave,145
2004,Grave,146
2005,Grave,221
2006,Grave,221
2007,Grave,234
2008,Grave,250
2009,Grave,257
2010,Grave,252
2011,Grave,246
2012,Grave,242
2013,Grave,233
2014,Grave,215
2015,Grave,205
2016,Grave,200
2017,Grave,202
2018**,Grave,210
2019*,Grave,219
2020*,Grave,232
1997,'s-Graveland,124
1998,'s-Graveland,122
1999,'s-Graveland,122
2000,'s-Graveland,122
2001,'s-Graveland,202
2002,'s-Graveland,
2003,'s-Graveland,
2004,'s-Graveland,
2005,'s-Graveland,
2006,'s-Graveland,
2007,'s-Graveland,
2008,'s-Graveland,
2009,'s-Graveland,
2010,'s-Graveland,
2011,'s-Graveland,
2012,'s-Graveland,
2013,'s-Graveland,
2014,'s-Graveland,
2015,'s-Graveland,
2016,'s-Graveland,
2017,'s-Graveland,
2018**,'s-Graveland,
2019*,'s-Graveland,
2020*,'s-Graveland,
1997,'s-Gravendeel,79
1998,'s-Gravendeel,80
1999,'s-Gravendeel,80
2000,'s-Gravendeel,81
2001,'s-Gravendeel,122
2002,'s-Gravendeel,125
2003,'s-Gravendeel,127
2004,'s-Gravendeel,128
2005,'s-Gravendeel,190
2006,'s-Gravendeel,192
2007,'s-Gravendeel,
2008,'s-Gravendeel,
2009,'s-Gravendeel,
2010,'s-Gravendeel,
2011,'s-Gravendeel,
2012,'s-Gravendeel,
2013,'s-Gravendeel,
2014,'s-Gravendeel,
2015,'s-Gravendeel,
2016,'s-Gravendeel,
2017,'s-Gravendeel,
2018**,'s-Gravendeel,
2019*,'s-Gravendeel,
2020*,'s-Gravendeel,
1997,'s-Gravenhage (gemeente),63
1998,'s-Gravenhage (gemeente),63
1999,'s-Gravenhage (gemeente),63
2000,'s-Gravenhage (gemeente),64
2001,'s-Gravenhage (gemeente),96
2002,'s-Gravenhage (gemeente),100
2003,'s-Gravenhage (gemeente),102
2004,'s-Gravenhage (gemeente),103
2005,'s-Gravenhage (gemeente),166
2006,'s-Gravenhage (gemeente),167
2007,'s-Gravenhage (gemeente),182
2008,'s-Gravenhage (gemeente),199
2009,'s-Gravenhage (gemeente),211
2010,'s-Gravenhage (gemeente),213
2011,'s-Gravenhage (gemeente),210
2012,'s-Gravenhage (gemeente),207
2013,'s-Gravenhage (gemeente),199
2014,'s-Gravenhage (gemeente),188
2015,'s-Gravenhage (gemeente),184
2016,'s-Gravenhage (gemeente),188
2017,'s-Gravenhage (gemeente),197
2018**,'s-Gravenhage (gemeente),212
2019*,'s-Gravenhage (gemeente),242
2020*,'s-Gravenhage (gemeente),271
1997,'s-Gravenzande,99
1998,'s-Gravenzande,99
1999,'s-Gravenzande,98
2000,'s-Gravenzande,100
2001,'s-Gravenzande,147
2002,'s-Gravenzande,
2003,'s-Gravenzande,
2004,'s-Gravenzande,
2005,'s-Gravenzande,
2006,'s-Gravenzande,
2007,'s-Gravenzande,
2008,'s-Gravenzande,
2009,'s-Gravenzande,
2010,'s-Gravenzande,
2011,'s-Gravenzande,
2012,'s-Gravenzande,
2013,'s-Gravenzande,
2014,'s-Gravenzande,
2015,'s-Gravenzande,
2016,'s-Gravenzande,
2017,'s-Gravenzande,
2018**,'s-Gravenzande,
2019*,'s-Gravenzande,
2020*,'s-Gravenzande,
1997,Groenlo,83
1998,Groenlo,83
1999,Groenlo,83
2000,Groenlo,83
2001,Groenlo,126
2002,Groenlo,129
2003,Groenlo,129
2004,Groenlo,129
2005,Groenlo,207
2006,Groenlo,207
2007,Groenlo,
2008,Groenlo,
2009,Groenlo,
2010,Groenlo,
2011,Groenlo,
2012,Groenlo,
2013,Groenlo,
2014,Groenlo,
2015,Groenlo,
2016,Groenlo,
2017,Groenlo,
2018**,Groenlo,
2019*,Groenlo,
2020*,Groenlo,
1997,Groesbeek,83
1998,Groesbeek,83
1999,Groesbeek,83
2000,Groesbeek,84
2001,Groesbeek,162
2002,Groesbeek,163
2003,Groesbeek,163
2004,Groesbeek,165
2005,Groesbeek,252
2006,Groesbeek,256
2007,Groesbeek,270
2008,Groesbeek,294
2009,Groesbeek,296
2010,Groesbeek,293
2011,Groesbeek,283
2012,Groesbeek,271
2013,Groesbeek,256
2014,Groesbeek,235
2015,Groesbeek,221
2016,Groesbeek,
2017,Groesbeek,
2018**,Groesbeek,
2019*,Groesbeek,
2020*,Groesbeek,
1997,Groningen (gemeente),54
1998,Groningen (gemeente),54
1999,Groningen (gemeente),55
2000,Groningen (gemeente),55
2001,Groningen (gemeente),74
2002,Groningen (gemeente),76
2003,Groningen (gemeente),78
2004,Groningen (gemeente),78
2005,Groningen (gemeente),128
2006,Groningen (gemeente),129
2007,Groningen (gemeente),149
2008,Groningen (gemeente),169
2009,Groningen (gemeente),175
2010,Groningen (gemeente),177
2011,Groningen (gemeente),175
2012,Groningen (gemeente),171
2013,Groningen (gemeente),165
2014,Groningen (gemeente),157
2015,Groningen (gemeente),151
2016,Groningen (gemeente),153
2017,Groningen (gemeente),157
2018**,Groningen (gemeente),168
2019*,Groningen (gemeente),       .
2020*,Groningen (gemeente),207
1997,Grootegast,74
1998,Grootegast,74
1999,Grootegast,75
2000,Grootegast,75
2001,Grootegast,112
2002,Grootegast,114
2003,Grootegast,115
2004,Grootegast,116
2005,Grootegast,176
2006,Grootegast,177
2007,Grootegast,196
2008,Grootegast,211
2009,Grootegast,219
2010,Grootegast,224
2011,Grootegast,220
2012,Grootegast,211
2013,Grootegast,201
2014,Grootegast,192
2015,Grootegast,187
2016,Grootegast,191
2017,Grootegast,196
2018**,Grootegast,200
2019*,Grootegast,
2020*,Grootegast,
1997,Grubbenvorst,106
1998,Grubbenvorst,106
1999,Grubbenvorst,106
2000,Grubbenvorst,106
2001,Grubbenvorst,
2002,Grubbenvorst,
2003,Grubbenvorst,
2004,Grubbenvorst,
2005,Grubbenvorst,
2006,Grubbenvorst,
2007,Grubbenvorst,
2008,Grubbenvorst,
2009,Grubbenvorst,
2010,Grubbenvorst,
2011,Grubbenvorst,
2012,Grubbenvorst,
2013,Grubbenvorst,
2014,Grubbenvorst,
2015,Grubbenvorst,
2016,Grubbenvorst,
2017,Grubbenvorst,
2018**,Grubbenvorst,
2019*,Grubbenvorst,
2020*,Grubbenvorst,
1997,Gulpen,101
1998,Gulpen,101
1999,Gulpen,
2000,Gulpen,
2001,Gulpen,
2002,Gulpen,
2003,Gulpen,
2004,Gulpen,
2005,Gulpen,
2006,Gulpen,
2007,Gulpen,
2008,Gulpen,
2009,Gulpen,
2010,Gulpen,
2011,Gulpen,
2012,Gulpen,
2013,Gulpen,
2014,Gulpen,
2015,Gulpen,
2016,Gulpen,
2017,Gulpen,
2018**,Gulpen,
2019*,Gulpen,
2020*,Gulpen,
1997,Gulpen-Wittem,
1998,Gulpen-Wittem,
1999,Gulpen-Wittem,104
2000,Gulpen-Wittem,104
2001,Gulpen-Wittem,156
2002,Gulpen-Wittem,156
2003,Gulpen-Wittem,156
2004,Gulpen-Wittem,157
2005,Gulpen-Wittem,209
2006,Gulpen-Wittem,210
2007,Gulpen-Wittem,227
2008,Gulpen-Wittem,237
2009,Gulpen-Wittem,243
2010,Gulpen-Wittem,240
2011,Gulpen-Wittem,231
2012,Gulpen-Wittem,224
2013,Gulpen-Wittem,215
2014,Gulpen-Wittem,204
2015,Gulpen-Wittem,198
2016,Gulpen-Wittem,200
2017,Gulpen-Wittem,205
2018**,Gulpen-Wittem,214
2019*,Gulpen-Wittem,223
2020*,Gulpen-Wittem,244
1997,Haaksbergen,93
1998,Haaksbergen,93
1999,Haaksbergen,93
2000,Haaksbergen,94
2001,Haaksbergen,137
2002,Haaksbergen,138
2003,Haaksbergen,138
2004,Haaksbergen,140
2005,Haaksbergen,214
2006,Haaksbergen,215
2007,Haaksbergen,229
2008,Haaksbergen,239
2009,Haaksbergen,247
2010,Haaksbergen,250
2011,Haaksbergen,244
2012,Haaksbergen,237
2013,Haaksbergen,229
2014,Haaksbergen,215
2015,Haaksbergen,210
2016,Haaksbergen,211
2017,Haaksbergen,211
2018**,Haaksbergen,221
2019*,Haaksbergen,235
2020*,Haaksbergen,250
1997,Haaren,132
1998,Haaren,133
1999,Haaren,133
2000,Haaren,133
2001,Haaren,208
2002,Haaren,209
2003,Haaren,209
2004,Haaren,209
2005,Haaren,314
2006,Haaren,314
2007,Haaren,344
2008,Haaren,366
2009,Haaren,385
2010,Haaren,381
2011,Haaren,369
2012,Haaren,366
2013,Haaren,352
2014,Haaren,332
2015,Haaren,314
2016,Haaren,314
2017,Haaren,309
2018**,Haaren,319
2019*,Haaren,330
2020*,Haaren,348
1997,Haarlem,74
1998,Haarlem,74
1999,Haarlem,74
2000,Haarlem,74
2001,Haarlem,127
2002,Haarlem,128
2003,Haarlem,128
2004,Haarlem,128
2005,Haarlem,201
2006,Haarlem,201
2007,Haarlem,219
2008,Haarlem,237
2009,Haarlem,252
2010,Haarlem,255
2011,Haarlem,253
2012,Haarlem,250
2013,Haarlem,242
2014,Haarlem,228
2015,Haarlem,223
2016,Haarlem,228
2017,Haarlem,249
2018**,Haarlem,286
2019*,Haarlem,326
2020*,Haarlem,358
1997,Haarlemmerliede en Spaarnwoude,108
1998,Haarlemmerliede en Spaarnwoude,109
1999,Haarlemmerliede en Spaarnwoude,111
2000,Haarlemmerliede en Spaarnwoude,111
2001,Haarlemmerliede en Spaarnwoude,182
2002,Haarlemmerliede en Spaarnwoude,179
2003,Haarlemmerliede en Spaarnwoude,181
2004,Haarlemmerliede en Spaarnwoude,181
2005,Haarlemmerliede en Spaarnwoude,257
2006,Haarlemmerliede en Spaarnwoude,257
2007,Haarlemmerliede en Spaarnwoude,279
2008,Haarlemmerliede en Spaarnwoude,290
2009,Haarlemmerliede en Spaarnwoude,294
2010,Haarlemmerliede en Spaarnwoude,303
2011,Haarlemmerliede en Spaarnwoude,298
2012,Haarlemmerliede en Spaarnwoude,296
2013,Haarlemmerliede en Spaarnwoude,284
2014,Haarlemmerliede en Spaarnwoude,267
2015,Haarlemmerliede en Spaarnwoude,261
2016,Haarlemmerliede en Spaarnwoude,268
2017,Haarlemmerliede en Spaarnwoude,277
2018**,Haarlemmerliede en Spaarnwoude,314
2019*,Haarlemmerliede en Spaarnwoude,
2020*,Haarlemmerliede en Spaarnwoude,
1997,Haarlemmermeer,107
1998,Haarlemmermeer,107
1999,Haarlemmermeer,107
2000,Haarlemmermeer,107
2001,Haarlemmermeer,159
2002,Haarlemmermeer,162
2003,Haarlemmermeer,162
2004,Haarlemmermeer,164
2005,Haarlemmermeer,240
2006,Haarlemmermeer,242
2007,Haarlemmermeer,254
2008,Haarlemmermeer,272
2009,Haarlemmermeer,284
2010,Haarlemmermeer,285
2011,Haarlemmermeer,279
2012,Haarlemmermeer,273
2013,Haarlemmermeer,265
2014,Haarlemmermeer,248
2015,Haarlemmermeer,244
2016,Haarlemmermeer,248
2017,Haarlemmermeer,255
2018**,Haarlemmermeer,272
2019*,Haarlemmermeer,298
2020*,Haarlemmermeer,337
1997,Haelen,91
1998,Haelen,92
1999,Haelen,93
2000,Haelen,93
2001,Haelen,145
2002,Haelen,146
2003,Haelen,146
2004,Haelen,147
2005,Haelen,206
2006,Haelen,206
2007,Haelen,
2008,Haelen,
2009,Haelen,
2010,Haelen,
2011,Haelen,
2012,Haelen,
2013,Haelen,
2014,Haelen,
2015,Haelen,
2016,Haelen,
2017,Haelen,
2018**,Haelen,
2019*,Haelen,
2020*,Haelen,
1997,Halderberge,92
1998,Halderberge,91
1999,Halderberge,91
2000,Halderberge,91
2001,Halderberge,154
2002,Halderberge,155
2003,Halderberge,156
2004,Halderberge,157
2005,Halderberge,221
2006,Halderberge,222
2007,Halderberge,238
2008,Halderberge,257
2009,Halderberge,260
2010,Halderberge,262
2011,Halderberge,257
2012,Halderberge,250
2013,Halderberge,243
2014,Halderberge,231
2015,Halderberge,226
2016,Halderberge,226
2017,Halderberge,228
2018**,Halderberge,237
2019*,Halderberge,246
2020*,Halderberge,259
1997,Den Ham,81
1998,Den Ham,81
1999,Den Ham,81
2000,Den Ham,82
2001,Den Ham,
2002,Den Ham,
2003,Den Ham,
2004,Den Ham,
2005,Den Ham,
2006,Den Ham,
2007,Den Ham,
2008,Den Ham,
2009,Den Ham,
2010,Den Ham,
2011,Den Ham,
2012,Den Ham,
2013,Den Ham,
2014,Den Ham,
2015,Den Ham,
2016,Den Ham,
2017,Den Ham,
2018**,Den Ham,
2019*,Den Ham,
2020*,Den Ham,
1997,Hardenberg,72
1998,Hardenberg,73
1999,Hardenberg,73
2000,Hardenberg,73
2001,Hardenberg,126
